player_name,player_id,season,composite_rating,predicted_qbr,predicted_elo,attempts,total_pass_epa,pass_success_rate,cpoe,rush_attempts,rush_yards_per_game,total_rush_epa,total_wpa,third_down_success,red_zone_epa
S.Rattler,00-0039376,2024,27.27849364187167,28.09917426593169,66.53788276239054,264.0,-73.88419525641928,0.3787878787878788,-9.06213659076064,18.0,8.588235294117647,13.575403080554679,-0.955669000048902,0.22727272727272727,0.0011858306189822612
D.Watson,00-0033537,2024,25.675198199229378,29.661003901590888,41.220457218554586,271.0,-55.96837346822772,0.34686346863468637,-2.2256619802543094,31.0,8.705882352941176,-1.8450406061772135,-1.199128971195612,0.2535211267605634,0.1885417477584582
J.Allen,00-0034857,2023,74.73988727716372,73.44454773396765,268.3898735469096,732.0,127.62803036471799,0.5068306010928961,4.465782111571505,131.0,39.411764705882355,71.39731888452879,4.747697148288712,0.4975845410628019,0.3502363880978064
B.Purdy,00-0037834,2023,73.89643595496575,74.03481556167017,256.45453502137514,604.0,176.61263182171606,0.5281456953642384,3.9470901392358013,53.0,12.823529411764707,14.724524679640819,3.972378953222995,0.4873417721518987,0.3459055448773546
D.Prescott,00-0033077,2023,71.60345527362253,72.66953039254933,241.76662609802275,728.0,137.34239719082697,0.5096153846153846,3.8448000947634378,63.0,16.88235294117647,18.659024670516608,3.2681854645034147,0.51010101010101,0.012233982721980315
P.Mahomes,00-0033873,2023,67.88820008401402,68.46487369428965,229.88262065498742,839.0,104.01780489259093,0.48748510131108463,3.8664558980104733,98.0,31.11764705882353,22.502803254991225,3.080730306353017,0.4488888888888889,-0.062012408708811334
L.Jackson,00-0034796,2023,65.79127158130078,63.787340849316635,236.95436935542156,636.0,57.18092834147595,0.48742138364779874,3.1905671972180567,167.0,57.35294117647059,25.432930427406898,1.7402581383977855,0.4117647058823529,0.19467363604407684
J.Love,00-0036264,2023,63.74097048708532,62.70483113004385,222.99411728547784,690.0,107.10411264795789,0.4666666666666667,1.4023907373235431,57.0,14.647058823529411,-12.396992487396295,1.9754599048583024,0.46798029556650245,0.10880045817801098
K.Cousins,00-0029604,2023,63.620645933284045,64.68659509043519,209.944875724808,329.0,22.07534091963732,0.45592705167173253,4.28785780901151,14.0,1.4705882352941178,1.6873686246108264,0.1961603522688784,0.47368421052631576,-0.25600976028562716
C.Stroud,00-0039163,2023,61.752637861386525,62.83495085165156,202.40043890111008,613.0,69.48299677918675,0.46166394779771613,0.10196715593338013,45.0,9.823529411764707,4.566706959727203,3.2360106017889945,0.4205128205128205,-0.07703811636822676
J.Goff,00-0033106,2023,60.10966571811821,61.28473342480669,195.29629605878043,762.0,93.81853508082602,0.49606299212598426,1.349194304095841,41.0,1.411764705882353,-24.54529698208736,4.123311840094065,0.4489795918367347,0.10643084182460924
J.Hurts,00-0036389,2023,57.68366382417274,57.897599240685594,191.37248941468724,662.0,56.15444945597693,0.45770392749244715,4.140682781773402,159.0,35.88235294117647,20.245104606413932,1.9892612881127665,0.47692307692307695,-0.0036660158001282908
T.Tagovailoa,00-0036212,2023,57.199542494707806,57.7368728676918,187.50883601201045,649.0,93.10055183510067,0.48382126348228044,3.1497144914535156,38.0,5.823529411764706,-37.515440901730365,1.9456644112520607,0.42780748663101603,-0.3172865376895578
M.Stafford,00-0026498,2023,56.4849464599205,58.18612412346698,177.70088077105643,603.0,70.82267839766733,0.46102819237147596,-1.9457726825613155,21.0,3.823529411764706,3.9656354920298327,2.119391766033298,0.40993788819875776,-0.020921928923355464
D.Carr,00-0031280,2023,54.940516552423816,55.993562088606076,175.41974826952557,590.0,30.12117521744854,0.4576271186440678,3.0327578889024416,32.0,2.3529411764705883,-20.27587383863353,0.5637044890959436,0.3879781420765027,-0.2559950525326843
J.Herbert,00-0036355,2023,54.92340776520095,55.861225890484526,176.04055635704322,517.0,26.5858538762496,0.46034816247582205,-0.3111262051031229,52.0,13.411764705882353,5.384589101048538,1.441504308079991,0.4228187919463087,-0.03896624692714376
G.Smith,00-0030565,2023,54.38817495993197,55.86142935225606,170.70523769664163,548.0,42.32332093221288,0.4835766423357664,2.444135994350506,37.0,9.117647058823529,-4.9264974177931435,2.297294606798622,0.3803680981595092,-0.04574918443203015
